action1,action2,count
reframing,self_questioning,1350.0
noticing,self_questioning,1307.0
noticing,response_modulation,1109.0
noticing,reframing,1032.0
response_modulation,self_questioning,788.0
emotion_understanding,noticing,706.0
analogical_thinking,noticing,698.0
evaluating,self_questioning,679.0
questioning,self_questioning,646.0
evaluating,reframing,622.0
evaluating,noticing,608.0
analogical_thinking,self_questioning,602.0
reframing,response_modulation,595.0
noticing,questioning,576.0
self_questioning,understanding,492.0
distinguishing,noticing,484.0
emotion_understanding,self_questioning,478.0
noticing,understanding,462.0
analogical_thinking,reframing,455.0
convergent_thinking,response_modulation,439.0
abstracting,noticing,436.0
questioning,response_modulation,429.0
emotion_understanding,reframing,417.0
divergent_thinking,noticing,416.0
response_modulation,understanding,402.0
emotion_responding,self_questioning,401.0
counterfactual_reasoning,self_questioning,398.0
divergent_thinking,response_modulation,394.0
analogical_thinking,response_modulation,386.0
emotion_understanding,response_modulation,383.0
noticing,pattern_recognition,380.0
emotion_responding,noticing,363.0
questioning,reframing,354.0
analogical_thinking,understanding,353.0
analyzing,noticing,340.0
convergent_thinking,noticing,334.0
evaluating,response_modulation,322.0
hypothesis_generation,self_questioning,298.0
emotion_responding,response_modulation,295.0
emotion_understanding,evaluating,294.0
abstracting,emotion_understanding,292.0
reframing,understanding,292.0
divergent_thinking,self_questioning,291.0
counterfactual_reasoning,noticing,287.0
convergent_thinking,self_questioning,276.0
analogical_thinking,distinguishing,274.0
pattern_recognition,response_modulation,274.0
convergent_thinking,understanding,268.0
counterfactual_reasoning,reframing,268.0
emotion_understanding,understanding,264.0
cognition_awareness,noticing,263.0
convergent_thinking,questioning,263.0
evaluating,questioning,262.0
analogical_thinking,emotion_understanding,260.0
analogical_thinking,counterfactual_reasoning,256.0
noticing,remembering,251.0
distinguishing,self_questioning,248.0
hypothesis_generation,noticing,248.0
emotion_responding,reframing,247.0
questioning,understanding,247.0
analogical_thinking,questioning,244.0
convergent_thinking,emotion_understanding,236.0
counterfactual_reasoning,response_modulation,234.0
hypothesis_generation,questioning,233.0
distinguishing,reframing,232.0
analogical_thinking,evaluating,224.0
divergent_thinking,questioning,220.0
counterfactual_reasoning,questioning,218.0
hypothesis_generation,reframing,218.0
cognition_awareness,self_questioning,214.0
noticing,reconsidering,214.0
divergent_thinking,reframing,212.0
cognition_awareness,response_modulation,207.0
analogical_thinking,divergent_thinking,202.0
evaluating,hypothesis_generation,196.0
abstracting,divergent_thinking,195.0
convergent_thinking,evaluating,195.0
convergent_thinking,divergent_thinking,192.0
emotion_perception,noticing,188.0
emotional_reappraisal,response_modulation,188.0
hypothesis_generation,response_modulation,188.0
analyzing,response_modulation,186.0
counterfactual_reasoning,understanding,184.0
distinguishing,response_modulation,184.0
reconsidering,reframing,184.0
evaluating,understanding,183.0
reconsidering,self_questioning,178.0
convergent_thinking,reframing,177.0
emotional_reappraisal,noticing,177.0
distinguishing,emotion_understanding,176.0
hypothesis_generation,reconsidering,175.0
cognition_awareness,understanding,174.0
hypothesis_generation,understanding,174.0
analogical_thinking,convergent_thinking,172.0
emotion_responding,understanding,171.0
abstracting,response_modulation,167.0
abstracting,self_questioning,165.0
counterfactual_reasoning,evaluating,165.0
emotion_responding,questioning,165.0
evaluating,reconsidering,165.0
reconsidering,response_modulation,165.0
abstracting,analogical_thinking,161.0
abstracting,distinguishing,156.0
emotional_reappraisal,self_questioning,151.0
analyzing,emotion_understanding,150.0
cognition_awareness,emotion_understanding,150.0
abstracting,analyzing,149.0
emotion_perception,self_questioning,149.0
emotion_responding,evaluating,149.0
noticing,zooming_in,147.0
distinguishing,evaluating,146.0
questioning,reconsidering,145.0
convergent_thinking,hypothesis_generation,142.0
emotional_reappraisal,reframing,142.0
analogical_thinking,hypothesis_generation,141.0
distinguishing,understanding,141.0
convergent_thinking,emotion_responding,138.0
cognition_awareness,questioning,137.0
convergent_thinking,counterfactual_reasoning,137.0
divergent_thinking,emotion_understanding,137.0
emotion_responding,emotion_understanding,137.0
perspective_taking,questioning,135.0
abstracting,evaluating,134.0
analyzing,evaluating,134.0
convergent_thinking,pattern_recognition,134.0
analyzing,convergent_thinking,133.0
emotion_responding,hypothesis_generation,132.0
emotion_perception,response_modulation,131.0
counterfactual_reasoning,hypothesis_generation,130.0
counterfactual_reasoning,divergent_thinking,129.0
distinguishing,questioning,129.0
