action_from,action_to,count
abstracting,noticing,412
abstracting,pattern_recognition,55
abstracting,analyzing,84
convergent_thinking,noticing,470
convergent_thinking,pattern_recognition,87
convergent_thinking,analyzing,102
evaluating,noticing,634
evaluating,pattern_recognition,114
evaluating,analyzing,137
noticing,noticing,1915
noticing,pattern_recognition,300
noticing,analyzing,336
self_questioning,noticing,1313
self_questioning,pattern_recognition,188
self_questioning,analyzing,193
remembering,noticing,249
remembering,analyzing,46
remembering,evaluating,88
noticing,abstracting,438
noticing,evaluating,642
noticing,emotional_reappraisal,173
noticing,emotion_understanding,621
noticing,reframing,970
analyzing,abstracting,81
analyzing,evaluating,150
analyzing,emotional_reappraisal,28
analyzing,noticing,334
analyzing,emotion_understanding,120
analyzing,reframing,161
evaluating,abstracting,134
evaluating,evaluating,330
evaluating,emotional_reappraisal,48
evaluating,emotion_understanding,239
evaluating,reframing,376
abstracting,reframing,216
abstracting,applying,16
abstracting,metacognitive_regulation,10
abstracting,emotion_management,16
evaluating,applying,25
evaluating,metacognitive_regulation,14
evaluating,emotion_management,22
emotional_reappraisal,reframing,92
emotional_reappraisal,applying,10
emotional_reappraisal,metacognitive_regulation,2
emotional_reappraisal,emotion_management,10
noticing,applying,82
noticing,metacognitive_regulation,24
noticing,emotion_management,67
emotion_understanding,reframing,345
emotion_understanding,applying,27
emotion_understanding,metacognitive_regulation,12
emotion_understanding,emotion_management,25
reframing,reframing,599
reframing,applying,35
reframing,metacognitive_regulation,16
reframing,emotion_management,43
reframing,questioning,418
reframing,cognition_awareness,152
reframing,self_questioning,741
reframing,response_modulation,603
reframing,noticing,990
reframing,remembering,111
applying,questioning,30
applying,cognition_awareness,16
applying,self_questioning,52
applying,response_modulation,59
applying,noticing,86
applying,remembering,5
applying,reframing,43
metacognitive_regulation,questioning,13
metacognitive_regulation,cognition_awareness,5
metacognitive_regulation,self_questioning,21
metacognitive_regulation,response_modulation,24
metacognitive_regulation,noticing,30
metacognitive_regulation,remembering,4
metacognitive_regulation,reframing,20
emotion_management,questioning,24
emotion_management,cognition_awareness,9
emotion_management,self_questioning,60
emotion_management,response_modulation,43
emotion_management,noticing,53
emotion_management,remembering,8
emotion_management,reframing,37
questioning,pattern_recognition,124
questioning,analyzing,136
questioning,situation_selection,42
cognition_awareness,pattern_recognition,60
cognition_awareness,analyzing,60
cognition_awareness,situation_selection,18
self_questioning,situation_selection,78
response_modulation,pattern_recognition,175
response_modulation,analyzing,180
response_modulation,situation_selection,62
noticing,situation_selection,111
remembering,pattern_recognition,41
remembering,situation_selection,23
reframing,pattern_recognition,131
reframing,analyzing,166
reframing,situation_selection,78
abstracting,evaluating,162
abstracting,emotion_receiving,25
abstracting,questioning,155
abstracting,self_questioning,277
analyzing,emotion_receiving,14
analyzing,questioning,136
analyzing,self_questioning,213
analogical_thinking,reframing,347
analogical_thinking,evaluating,212
analogical_thinking,emotion_receiving,37
analogical_thinking,noticing,710
analogical_thinking,questioning,254
analogical_thinking,self_questioning,512
cognition_awareness,reframing,134
cognition_awareness,evaluating,107
cognition_awareness,emotion_receiving,21
cognition_awareness,noticing,273
cognition_awareness,questioning,129
cognition_awareness,self_questioning,163
emotion_understanding,evaluating,225
emotion_understanding,emotion_receiving,26
emotion_understanding,noticing,634
emotion_understanding,questioning,201
emotion_understanding,self_questioning,445
evaluating,emotion_receiving,32
evaluating,questioning,307
evaluating,self_questioning,487
distinguishing,reframing,220
distinguishing,evaluating,140
distinguishing,emotion_receiving,23
distinguishing,noticing,426
distinguishing,questioning,140
distinguishing,self_questioning,281
emotion_perception,reframing,128
emotion_perception,evaluating,101
emotion_perception,emotion_receiving,9
emotion_perception,noticing,199
emotion_perception,questioning,85
emotion_perception,self_questioning,160
noticing,emotion_receiving,68
noticing,questioning,664
noticing,self_questioning,1281
reframing,counterfactual_reasoning,205
evaluating,response_modulation,398
evaluating,counterfactual_reasoning,153
emotion_receiving,noticing,72
emotion_receiving,response_modulation,36
emotion_receiving,self_questioning,57
emotion_receiving,questioning,43
emotion_receiving,counterfactual_reasoning,20
noticing,response_modulation,1026
noticing,counterfactual_reasoning,367
questioning,noticing,650
questioning,response_modulation,400
questioning,self_questioning,469
questioning,questioning,287
questioning,counterfactual_reasoning,183
self_questioning,response_modulation,784
self_questioning,self_questioning,972
self_questioning,questioning,499
self_questioning,counterfactual_reasoning,260
