action,mean_sentiment,mean_layers,total_occurrences,pos_ratio,neg_ratio,trans_ratio
emotion_management,2.2489352029096477,6.71822358346095,653,0.7105666156202144,0.010719754977029096,0.2787136294027565
metacognitive_regulation,2.0758451440520447,3.676579925650558,269,0.5130111524163569,0.007434944237918215,0.4795539033457249
emotion_responding,-0.31340760250569477,2.3416856492027334,439,0.3439635535307517,0.592255125284738,0.06378132118451026
metacognitive_monitoring,1.722884352189781,2.4927007299270074,274,0.5072992700729927,0.029197080291970802,0.4635036496350365
reframing,1.8874305555555555,2.6,225,0.6844444444444444,0.035555555555555556,0.28
analogical_thinking,-1.523652129120879,3.3956043956043955,91,0.0,0.7692307692307693,0.23076923076923078
emotion_receiving,-0.3221496860730594,1.6666666666666667,219,0.2511415525114155,0.4931506849315068,0.2557077625570776
attentional_deployment,0.84765625,3.55045871559633,218,0.27522935779816515,0.14678899082568808,0.5779816513761468
situation_selection,1.075212647928994,3.4142011834319526,169,0.17159763313609466,0.11834319526627218,0.7100591715976331
hypothesis_generation,-1.223463326446281,5.0633608815427,363,0.02203856749311295,0.7988980716253443,0.1790633608815427
counterfactual_reasoning,-1.6676809210526315,3.5894736842105264,95,0.021052631578947368,0.8842105263157894,0.09473684210526316
divergent_thinking,0.28732825969827586,4.383620689655173,232,0.14224137931034483,0.35344827586206895,0.5043103448275862
pattern_recognition,1.4717601102941176,2.6588235294117646,170,0.2647058823529412,0.12352941176470589,0.611764705882353
response_modulation,0.1902469758064516,2.0516129032258066,155,0.38064516129032255,0.34838709677419355,0.2709677419354839
evaluating,-0.7178091653963414,3.606707317073171,328,0.15853658536585366,0.7042682926829268,0.13719512195121952
self_questioning,-1.8462218237704917,4.504918032786885,305,0.003278688524590164,0.9377049180327869,0.05901639344262295
questioning,-1.646961405529954,5.258064516129032,217,0.009216589861751152,0.8755760368663594,0.1152073732718894
convergent_thinking,-0.5946320564516129,3.1032258064516127,155,0.012903225806451613,0.6967741935483871,0.2903225806451613
applying,0.9982595915841584,1.99009900990099,101,0.2871287128712871,0.21782178217821782,0.49504950495049505
understanding,-1.4179086538461538,1.646153846153846,65,0.0,0.8,0.2
cognition_awareness,-1.566171875,1.86,50,0.0,0.6,0.4
emotion_characterizing,1.8519558376736112,3.4479166666666665,288,0.5868055555555556,0.08333333333333333,0.3298611111111111
emotional_reappraisal,-0.15889756944444444,3.0555555555555554,90,0.25555555555555554,0.26666666666666666,0.4777777777777778
abstracting,0.7827280405405406,2.810810810810811,37,0.2972972972972973,0.10810810810810811,0.5945945945945946
emotion_organizing,1.708813569391635,4.2889733840304185,263,0.5817490494296578,0.07604562737642585,0.34220532319391633
zooming_out,-1.1412284044715446,2.073170731707317,123,0.10569105691056911,0.6747967479674797,0.21951219512195122
perspective_taking,1.1875,2.25,4,0.25,0.0,0.75
emotion_perception,0.8410456730769231,2.8376068376068377,234,0.36324786324786323,0.2905982905982906,0.34615384615384615
concretizing,0.8611413043478261,6.121739130434783,115,0.008695652173913044,0.0,0.991304347826087
accepting,2.28406613372093,2.9186046511627906,86,0.8604651162790697,0.046511627906976744,0.09302325581395349
emotion_valuing,-0.8934763976793249,4.30801687763713,237,0.08860759493670886,0.7088607594936709,0.20253164556962025
situation_modification,1.7507666471962617,1.8598130841121496,107,0.3364485981308411,0.09345794392523364,0.5700934579439252
remembering,-0.5,3.463768115942029,69,0.0,0.5217391304347826,0.4782608695652174
analyzing,0.530201981707317,3.252032520325203,123,0.08130081300813008,0.34959349593495936,0.5691056910569106
meta_awareness,-0.6587701612903226,2.6129032258064515,31,0.16129032258064516,0.45161290322580644,0.3870967741935484
emotion_facilitation,1.4343449519230769,2.1923076923076925,26,0.15384615384615385,0.0,0.8461538461538461
updating_beliefs,1.3846628289473684,2.017543859649123,57,0.3157894736842105,0.0,0.6842105263157895
noticing,-0.34720552884615385,1.9807692307692308,52,0.019230769230769232,0.5384615384615384,0.4423076923076923
emotion_understanding,1.299534574468085,2.1702127659574466,47,0.5531914893617021,0.0425531914893617,0.40425531914893614
reconsidering,-0.8038793103448276,2.103448275862069,29,0.0,0.6896551724137931,0.3103448275862069
creating,0.025648013565891473,1.6589147286821706,129,0.10077519379844961,0.4728682170542636,0.4263565891472868
distinguishing,-0.5363685344827587,2.7241379310344827,29,0.034482758620689655,0.41379310344827586,0.5517241379310345
connecting,1.6505859375,1.95,20,0.25,0.0,0.75
zooming_in,-1.9925271739130435,2.608695652173913,23,0.0,0.8695652173913043,0.13043478260869565
suspending_judgment,3.2369791666666665,5.666666666666667,3,0.6666666666666666,0.0,0.3333333333333333
