,abstracting,accepting,analogical_thinking,analyzing,applying,attentional_deployment,cognition_awareness,concretizing,connecting,convergent_thinking,counterfactual_reasoning,creating,distinguishing,divergent_thinking,emotion_characterizing,emotion_facilitation,emotion_management,emotion_organizing,emotion_perception,emotion_receiving,emotion_responding,emotion_understanding,emotion_valuing,emotional_reappraisal,evaluating,hypothesis_generation,meta_awareness,metacognitive_monitoring,metacognitive_regulation,noticing,pattern_recognition,perspective_taking,questioning,reconsidering,reframing,remembering,response_modulation,self_questioning,situation_modification,situation_selection,suspending_judgment,understanding,updating_beliefs,zooming_in,zooming_out
abstracting,0,3,3,10,4,4,3,0,1,6,0,3,3,19,9,0,11,11,4,4,3,6,4,5,6,2,3,4,8,1,13,0,3,0,11,1,7,5,2,1,0,4,3,1,0
accepting,3,0,0,1,4,7,0,0,3,5,1,1,2,3,32,0,72,23,7,5,25,3,8,4,17,5,1,14,14,0,3,0,7,1,50,0,8,2,8,3,0,1,7,0,1
analogical_thinking,3,0,0,2,1,7,2,1,0,18,5,8,0,11,9,1,7,4,13,30,49,2,32,10,32,40,2,2,0,5,6,2,31,5,8,2,9,28,1,6,0,14,0,0,24
analyzing,10,1,2,0,28,13,12,29,0,14,8,22,7,41,12,0,26,39,15,7,19,9,6,8,14,18,5,18,28,4,20,0,3,4,2,17,6,15,9,5,0,9,5,3,7
applying,4,4,1,28,0,9,3,12,7,11,3,17,3,27,29,3,43,39,12,11,21,10,13,9,21,15,2,11,27,3,25,1,11,2,12,4,14,19,14,14,0,4,11,1,1
attentional_deployment,4,7,7,13,9,0,8,50,0,11,3,7,1,38,12,3,118,11,11,14,21,1,1,3,9,8,4,80,55,7,22,1,0,0,16,10,27,6,21,39,1,2,3,1,16
cognition_awareness,3,0,2,12,3,8,0,8,0,4,2,7,1,9,2,1,4,6,10,12,11,3,3,4,7,6,10,12,2,8,4,0,8,0,1,6,9,15,0,3,0,7,0,2,14
concretizing,0,0,1,29,12,50,8,0,0,17,2,10,3,24,3,3,18,6,11,16,1,2,4,5,0,6,0,53,23,5,9,0,2,0,5,2,4,2,15,16,0,3,6,1,15
connecting,1,3,0,0,7,0,0,0,0,0,0,6,1,0,10,2,3,12,0,0,0,3,4,3,2,0,0,0,1,0,4,0,1,0,7,1,1,0,1,1,0,0,6,0,1
convergent_thinking,6,5,18,14,11,11,4,17,0,0,18,19,3,42,10,0,20,4,9,14,65,1,66,6,87,104,0,11,20,0,16,0,77,6,14,0,6,70,8,16,0,21,0,0,19
counterfactual_reasoning,0,1,5,8,3,3,2,2,0,18,0,10,0,21,1,2,4,2,7,1,45,0,32,2,41,59,0,1,2,5,4,1,36,6,5,7,12,54,7,15,0,3,2,8,2
creating,3,1,8,22,17,7,7,10,6,19,10,0,5,67,15,4,21,22,10,11,26,3,2,6,24,35,5,8,17,4,18,0,12,9,9,3,9,22,22,28,0,4,6,2,9
distinguishing,3,2,0,7,3,1,1,3,1,3,0,5,0,7,8,0,2,11,4,2,0,2,1,10,0,5,3,0,3,1,4,0,9,0,10,0,1,12,2,1,0,8,2,0,0
divergent_thinking,19,3,11,41,27,38,9,24,0,42,21,67,7,0,27,7,64,37,8,8,25,9,16,16,45,76,9,32,60,7,29,1,30,8,32,8,24,39,39,48,0,12,5,0,24
emotion_characterizing,9,32,9,12,29,12,2,3,10,10,1,15,8,27,0,4,190,119,56,41,83,21,47,14,51,20,1,43,43,0,28,2,22,2,83,11,28,32,10,27,0,9,16,0,8
emotion_facilitation,0,0,1,0,3,3,1,3,2,0,2,4,0,7,4,0,14,8,4,1,1,1,1,0,2,0,1,8,8,2,5,0,2,0,3,0,6,3,5,9,0,0,0,0,0
emotion_management,11,72,7,26,43,118,4,18,3,20,4,21,2,64,190,14,0,147,103,59,162,25,32,28,68,16,9,186,207,4,78,1,10,1,154,17,92,7,61,96,1,3,22,1,12
emotion_organizing,11,23,4,39,39,11,6,6,12,4,2,22,11,37,119,8,147,0,40,28,45,26,26,16,21,20,4,42,50,1,38,0,10,2,68,6,13,19,13,14,0,6,21,0,9
emotion_perception,4,7,13,15,12,11,10,11,0,9,7,10,4,8,56,4,103,40,0,104,98,18,20,14,50,44,5,44,20,25,34,0,3,0,8,18,28,32,2,12,0,0,11,4,3
emotion_receiving,4,5,30,7,11,14,12,16,0,14,1,11,2,8,41,1,59,28,104,0,126,9,22,6,59,72,3,25,3,20,29,0,6,0,10,17,23,46,0,3,0,7,7,0,18
emotion_responding,3,25,49,19,21,21,11,1,0,65,45,26,0,25,83,1,162,45,98,126,0,13,101,18,200,183,8,58,35,7,31,1,106,12,37,8,58,164,9,14,1,19,9,5,35
emotion_understanding,6,3,2,9,10,1,3,2,3,1,0,3,2,9,21,1,25,26,18,9,13,0,3,7,7,1,2,8,5,1,7,0,0,0,12,7,10,5,1,1,0,0,5,0,0
emotion_valuing,4,8,32,6,13,1,3,4,4,66,32,2,1,16,47,1,32,26,20,22,101,3,0,20,123,146,0,6,4,0,14,2,113,11,33,16,12,105,1,16,0,36,6,2,34
emotional_reappraisal,5,4,10,8,9,3,4,5,3,6,2,6,10,16,14,0,28,16,14,6,18,7,20,0,17,12,4,5,9,1,6,1,20,1,43,7,16,20,3,3,0,6,9,5,9
evaluating,6,17,32,14,21,9,7,0,2,87,41,24,0,45,51,2,68,21,50,59,200,7,123,17,0,196,5,28,28,7,15,0,130,20,29,9,49,155,15,27,0,31,10,0,47
hypothesis_generation,2,5,40,18,15,8,6,6,0,104,59,35,5,76,20,0,16,20,44,72,183,1,146,12,196,0,6,12,22,19,24,2,151,18,13,7,35,178,25,40,1,48,4,1,52
meta_awareness,3,1,2,5,2,4,10,0,0,0,0,5,3,9,1,1,9,4,5,3,8,2,0,4,5,6,0,5,7,4,3,0,2,0,2,1,7,9,0,4,0,5,1,0,4
metacognitive_monitoring,4,14,2,18,11,80,12,53,0,11,1,8,0,32,43,8,186,42,44,25,58,8,6,5,28,12,5,0,119,4,42,0,5,0,21,7,27,7,12,24,1,2,10,1,17
