,abstracting,accepting,analogical_thinking,analyzing,applying,attentional_deployment,cognition_awareness,convergent_thinking,counterfactual_reasoning,creating,distinguishing,divergent_thinking,emotion_characterizing,emotion_management,emotion_organizing,emotion_perception,emotion_receiving,emotion_responding,emotion_understanding,emotion_valuing,emotional_reappraisal,evaluating,hypothesis_generation,meta_awareness,metacognitive_monitoring,metacognitive_regulation,noticing,pattern_recognition,questioning,reconsidering,reframing,remembering,response_modulation,self_questioning,situation_modification,situation_selection,understanding,zooming_in,zooming_out
abstracting,0,0,2,2,0,2,2,2,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,2,0,0,2,0,0
accepting,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,2,0,4,4,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
analogical_thinking,2,0,0,1,0,6,2,13,4,7,0,2,0,0,0,10,28,47,0,29,2,31,37,2,0,0,4,3,29,4,2,0,4,25,0,4,14,0,23
analyzing,2,0,1,0,4,4,6,4,8,11,2,18,4,2,8,6,6,13,2,6,4,8,12,2,0,0,0,1,2,4,2,14,4,15,4,2,7,2,0
applying,0,0,0,4,0,0,0,8,2,2,2,4,6,0,6,2,6,8,0,8,4,10,10,0,2,2,2,4,10,0,0,0,2,18,0,0,2,0,0
attentional_deployment,2,0,6,4,0,0,6,0,2,4,0,14,0,4,0,4,4,12,0,0,0,8,2,2,2,0,2,2,0,0,0,2,6,4,0,0,2,0,4
cognition_awareness,2,0,2,6,0,6,0,2,0,6,0,6,0,2,0,6,6,10,0,2,2,6,4,6,4,0,8,0,6,0,0,4,8,12,0,2,4,2,10
convergent_thinking,2,4,13,4,8,0,2,0,16,8,0,18,2,0,0,4,14,63,0,64,0,82,94,0,2,2,0,4,72,6,2,0,5,65,2,6,19,0,19
counterfactual_reasoning,0,0,4,8,2,2,0,16,0,10,0,18,0,0,2,4,0,44,0,30,2,40,56,0,0,0,4,0,34,6,2,6,12,52,6,12,2,8,2
creating,0,0,7,11,2,4,6,8,10,0,2,30,4,0,2,8,10,23,0,2,0,16,20,4,2,0,4,1,8,8,0,2,2,21,6,6,3,2,8
distinguishing,0,0,0,2,2,0,0,0,0,2,0,2,6,0,6,4,2,0,0,0,4,0,4,2,0,0,0,0,6,0,0,0,0,10,0,0,4,0,0
divergent_thinking,2,0,2,18,4,14,6,18,18,30,2,0,2,2,0,0,6,18,2,12,0,28,46,8,2,0,4,2,22,8,0,6,6,34,10,8,10,0,20
emotion_characterizing,0,0,0,4,6,0,0,2,0,4,6,2,0,0,16,0,0,10,0,8,2,10,6,0,0,0,0,2,14,0,0,0,0,24,0,0,8,0,2
emotion_management,0,0,0,2,0,4,2,0,0,0,0,2,0,0,0,2,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
