,abstracting,accepting,analyzing,applying,attentional_deployment,concretizing,connecting,convergent_thinking,counterfactual_reasoning,creating,distinguishing,divergent_thinking,emotion_characterizing,emotion_facilitation,emotion_management,emotion_organizing,emotion_perception,emotion_receiving,emotion_responding,emotion_understanding,emotion_valuing,emotional_reappraisal,evaluating,hypothesis_generation,meta_awareness,metacognitive_monitoring,metacognitive_regulation,noticing,pattern_recognition,perspective_taking,questioning,reframing,response_modulation,self_questioning,situation_modification,situation_selection,suspending_judgment,updating_beliefs,zooming_out
abstracting,0,1,3,4,0,0,0,1,0,1,0,7,3,0,8,5,1,0,1,3,0,3,5,0,0,1,3,0,1,0,0,5,5,0,1,0,0,2,0
accepting,1,0,1,3,6,0,3,0,1,1,0,1,30,0,68,21,7,5,20,3,6,2,13,1,1,14,14,0,3,0,0,43,7,0,6,0,0,6,1
analyzing,3,1,0,5,0,0,0,1,0,0,0,3,4,0,8,6,3,0,4,3,0,1,2,0,0,3,5,0,2,0,0,0,2,0,0,0,0,0,1
applying,4,3,5,0,1,0,4,1,0,4,0,7,16,0,21,17,5,2,10,9,2,3,9,1,1,2,5,0,3,0,0,12,9,0,4,1,0,5,0
attentional_deployment,0,6,0,1,0,0,0,1,0,0,0,1,6,0,54,8,3,1,6,0,0,0,1,0,0,22,20,0,3,0,0,11,8,0,5,2,1,0,1
concretizing,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
connecting,0,3,0,4,0,0,0,0,0,1,0,0,2,0,2,5,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,0
convergent_thinking,1,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
counterfactual_reasoning,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
creating,1,1,0,4,0,1,1,0,0,0,0,8,4,0,8,4,1,1,2,2,0,3,5,2,1,1,0,0,1,0,0,4,2,0,4,5,0,1,0
distinguishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
divergent_thinking,7,1,3,7,1,1,0,1,0,8,0,0,5,0,26,8,2,0,4,5,0,10,12,2,1,4,7,0,2,0,0,16,10,0,8,6,0,3,1
emotion_characterizing,3,30,4,16,6,0,2,0,1,4,0,5,0,2,148,78,35,26,65,17,15,6,24,0,1,31,31,0,8,1,1,67,20,1,4,6,0,8,4
emotion_facilitation,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
emotion_management,8,68,8,21,54,1,2,2,2,8,0,26,148,3,0,128,75,49,146,19,14,17,47,6,4,138,135,0,43,1,2,129,56,1,34,27,1,15,10
emotion_organizing,5,21,6,17,8,0,5,0,0,4,0,8,78,3,128,0,24,20,37,21,12,7,12,1,1,28,31,0,6,0,0,57,12,0,4,7,0,7,5
emotion_perception,1,7,3,5,3,0,0,0,0,1,0,2,35,2,75,24,0,28,46,11,0,1,10,2,1,26,12,1,5,0,0,6,13,0,0,3,0,0,0
emotion_receiving,0,5,0,2,1,0,0,0,0,1,0,0,26,1,49,20,28,0,33,3,2,0,7,0,1,9,3,0,10,0,0,8,3,1,0,0,0,0,0
emotion_responding,1,20,4,10,6,0,0,0,1,2,0,4,65,1,146,37,46,33,0,10,5,4,19,1,1,53,32,0,17,1,0,31,13,1,3,2,0,7,1
emotion_understanding,3,3,3,9,0,0,3,0,0,2,0,5,17,0,19,21,11,3,10,0,0,4,6,0,1,5,3,0,0,0,0,9,8,0,1,0,0,5,0
emotion_valuing,0,6,0,2,0,0,2,0,0,0,0,0,15,0,14,12,0,2,5,0,0,1,0,0,0,1,1,0,0,1,0,19,0,0,0,0,0,1,0
emotional_reappraisal,3,2,1,3,0,0,0,1,0,3,0,10,6,0,17,7,1,0,4,4,1,0,8,0,1,1,5,0,1,0,1,19,6,0,2,1,0,5,1
evaluating,5,13,2,9,1,0,2,1,0,5,0,12,24,0,47,12,10,7,19,6,0,8,0,1,0,12,15,0,2,0,1,22,12,0,4,0,0,6,1
hypothesis_generation,0,1,0,1,0,0,0,0,0,2,0,2,0,0,6,1,2,0,1,0,0,0,1,0,0,1,2,1,4,0,0,1,1,0,2,2,0,0,0
meta_awareness,0,1,0,1,0,0,0,0,0,1,0,1,1,0,4,1,1,1,1,1,0,1,0,0,0,2,3,0,1,0,0,1,0,0,0,1,0,1,0
metacognitive_monitoring,1,14,3,2,22,1,0,0,0,1,0,4,31,0,138,28,26,9,53,5,1,1,12,1,2,0,67,0,18,0,1,16,14,1,7,4,1,4,1
metacognitive_regulation,3,14,5,5,20,0,0,2,0,0,0,7,31,0,135,31,12,3,32,3,1,5,15,2,3,67,0,0,13,0,1,22,22,1,16,10,1,3,6
noticing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pattern_recognition,1,3,2,3,3,0,0,1,0,1,0,2,8,0,43,6,5,10,17,0,0,1,2,4,1,18,13,1,0,0,0,5,6,1,2,4,0,2,0
perspective_taking,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
questioning,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
reframing,5,43,0,12,11,0,4,0,2,4,1,16,67,1,129,57,6,8,31,9,19,19,22,1,1,16,22,0,5,1,0,0,19,0,7,15,0,10,1
response_modulation,5,7,2,9,8,0,1,0,0,2,0,10,20,1,56,12,13,3,13,8,0,6,12,1,0,14,22,0,6,0,1,19,0,0,3,2,0,5,1
self_questioning,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
situation_modification,1,6,0,4,5,1,0,0,0,4,0,8,4,0,34,4,0,0,3,1,0,2,4,2,0,7,16,0,2,0,0,7,3,0,0,5,0,1,2
situation_selection,0,0,0,1,2,1,0,0,0,5,0,6,6,1,27,7,3,0,2,0,0,1,0,2,1,4,10,0,4,0,0,15,2,0,5,0,0,1,0
suspending_judgment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
updating_beliefs,2,6,0,5,0,0,3,0,0,1,0,3,8,0,15,7,0,0,7,5,1,5,6,0,1,4,3,0,2,0,0,10,5,0,1,1,0,0,0
zooming_out,0,1,1,0,1,0,0,0,0,0,0,1,4,0,10,5,0,0,1,0,0,1,1,0,0,1,6,0,0,0,0,1,1,0,2,0,0,0,0
