,abstracting,accepting,analogical_thinking,analyzing,applying,attentional_deployment,cognition_awareness,concretizing,connecting,convergent_thinking,counterfactual_reasoning,creating,distinguishing,divergent_thinking,emotion_characterizing,emotion_facilitation,emotion_management,emotion_organizing,emotion_perception,emotion_receiving,emotion_responding,emotion_understanding,emotion_valuing,emotional_reappraisal,evaluating,hypothesis_generation,meta_awareness,metacognitive_monitoring,metacognitive_regulation,noticing,pattern_recognition,perspective_taking,questioning,reconsidering,reframing,remembering,response_modulation,self_questioning,situation_modification,situation_selection,suspending_judgment,understanding,updating_beliefs,zooming_in,zooming_out
abstracting,0,2,1,5,0,2,1,0,1,3,0,2,3,10,6,0,3,6,3,2,0,3,2,2,1,2,1,3,5,1,12,0,1,0,6,1,0,3,1,1,0,2,1,1,0
accepting,2,0,0,0,1,1,0,0,0,1,0,0,2,2,2,0,4,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,1,7,0,1,0,2,3,0,1,1,0,0
analogical_thinking,1,0,0,1,1,1,0,1,0,5,1,1,0,9,9,1,7,4,3,2,2,2,3,8,1,3,0,2,0,1,3,2,2,1,6,2,5,3,1,2,0,0,0,0,1
analyzing,5,0,1,0,19,9,6,29,0,9,0,11,5,20,4,0,16,25,6,1,2,4,0,3,4,6,3,15,23,4,17,0,1,0,0,3,0,0,5,3,0,2,5,1,6
applying,0,1,1,19,0,8,3,12,3,2,1,11,1,16,7,3,22,16,5,3,3,1,3,2,2,4,1,7,20,1,18,1,1,2,0,4,3,1,10,13,0,2,6,1,1
attentional_deployment,2,1,1,9,8,0,2,50,0,10,1,3,1,23,6,3,60,3,4,9,3,1,1,3,0,6,2,56,35,5,17,1,0,0,5,8,13,2,16,37,0,0,3,1,11
cognition_awareness,1,0,0,6,3,2,0,8,0,2,2,1,1,3,2,1,2,6,4,6,1,3,1,2,1,2,4,8,2,0,4,0,2,0,1,2,1,3,0,1,0,3,0,0,4
concretizing,0,0,1,29,12,50,8,0,0,17,2,9,3,23,3,3,17,6,11,16,1,2,4,5,0,6,0,52,23,5,9,0,2,0,5,2,4,2,14,15,0,3,6,1,15
connecting,1,0,0,0,3,0,0,0,0,0,0,5,1,0,8,2,1,7,0,0,0,0,2,3,0,0,0,0,1,0,4,0,1,0,3,1,0,0,1,1,0,0,3,0,1
convergent_thinking,3,1,5,9,2,10,2,17,0,0,2,11,3,23,8,0,18,4,5,0,2,1,2,5,4,10,0,9,16,0,11,0,5,0,12,0,1,5,6,10,0,2,0,0,0
counterfactual_reasoning,0,0,1,0,1,1,2,2,0,2,0,0,0,3,0,2,2,0,3,1,0,0,2,0,1,3,0,1,2,1,4,1,2,0,1,1,0,2,1,3,0,1,2,0,0
creating,2,0,1,11,11,3,1,9,5,11,0,0,3,29,7,4,13,16,1,0,1,1,0,3,3,13,0,5,17,0,16,0,4,1,5,1,5,1,12,17,0,1,5,0,1
distinguishing,3,2,0,5,1,1,1,3,1,3,0,3,0,5,2,0,2,5,0,0,0,2,1,6,0,1,1,0,3,1,4,0,3,0,9,0,1,2,2,1,0,4,2,0,0
divergent_thinking,10,2,9,20,16,23,3,23,0,23,3,29,5,0,20,7,36,29,6,2,3,2,4,6,5,28,0,26,53,3,25,1,8,0,16,2,8,5,21,34,0,2,2,0,3
emotion_characterizing,6,2,9,4,7,6,2,3,8,8,0,7,2,20,0,2,42,25,21,15,8,4,24,6,17,14,0,12,12,0,18,1,7,2,16,11,8,7,6,21,0,1,8,0,2
emotion_facilitation,0,0,1,0,3,3,1,3,2,0,2,4,0,7,2,0,11,5,2,0,0,1,1,0,2,0,1,8,8,2,5,0,2,0,2,0,5,3,5,8,0,0,0,0,0
